hotel_id,author,location,rating,date,date_visited,title,text,trip_type,helpful,photos,language,contributions,avatar
1007724,Camille H,pasadena,2,2026-07-09,2026-07-31,No Amenities or Service / Great Location & Roof,"This hotel has pros and cons. It could be a good hotel choice if you are ok with the cons. Cons - -After closing the door to our room we discovered that it was unlocked for several minutes before automatically locking. This is a security flaw which we discovered. We waited in the hall until we heard the door lock before leaving. -One tiny quart sized ice maker on a counter in a common area for the entire hotel. This was always empty. -No room service, nobody will come to clean the room or pick up old towels. This is weird because in the room there is a sign that says to put towels on the floor if you want them replaced. -Upon check in, nobody was at the front desk and the front door was locked. It was check in time, but we were stuck on the street. -Front desk was unattended about 25% of the time. -Coffee maker amenities - there was no milk or sugar, just sacks of coffee for the maker -TV Channels were limited, very hard to get even local news for the Today Show which is filmed in NY -Noise, there is a club next door and a food truck that comes each night and people on the street are extremely loud which you can hear from the room. Pros- -This is one of the cheapest hotels that offers a rooftop viewing area. -Rooftop viewing was good for seeing the fireworks on the 4th which is what we wanted. -Room was clean upon check in and the bed was comfortable. -Good location, lots of restaurants and stores in the area.",Traveled as a couple,12,"[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/ce/63/07/caption.jpg"", ""caption"": ""View of Fireworks from the roof on the 4th of July"", ""photo_id"": ""869163783""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/ce/63/46/caption.jpg"", ""caption"": ""View from Roof"", ""photo_id"": ""869163846""}, {""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/ce/63/b3/caption.jpg"", ""caption"": ""One little ice maker for the entire hotel"", ""photo_id"": ""869163955""}]",en,32,
1007724,Ethan X,,5,2026-01-19,2026-01-31,it was a awesome experience lead by the ridge hotel,"everything is good here...
food quality is delicious..
and behaviour of the stuffs are way beyond imagination...
so in a nutshell at this price.. it is best of the best",Traveled with friends,,,en,1,
1007724,William G,,1,2025-10-19,2025-10-31,"Worst room ever, and I have travelled all but 2 continents in my 73 years.","I don’t ever write negative reviews but the incredibly bad experience we just had at The Ridge demands that I spare other tourists the nightmare.  I checked in early and left our bags at front desk.  Returned at normal check in time and our bags were waiting for us in the tiniest room, adjacent to the entry lobby and side exterior exit door, which also housed a coffee machine for every guest to bang around as they gossiped outside the door to our room.   Every guest returning to hotel into the wee hours, and every guest checking out in the early morning had no idea that our room was right there, around the corner.  Had they known, I trust that some effort might have been made to moderate their festive volume.   My disappointment is that I was not informed in advance of this nightmare of claustrophobia, and as I mentioned, I arrived 3 hours before check in, so I definitely was not the last guest checking in.   Never again.   Spare yourself a similar experience.",Traveled as a couple,1,,en,6,
1007724,Mason S,,1,2025-10-01,2025-09-30,Don't do it............,"I passed by the hotel and there were junkies on the stoop. 
I would not feel safe staying here solo.
 There is no attendant. 
I canceled 2 days in advance and was still charged for the room.
THIS IS A CONTACTLESS HOTEL and no one will help you.
Would not recommend",Traveled solo,,,en,1,
1007724,Dylan T,,1,2025-09-30,2025-08-31,The WORST hotel experience I have ever had,"The WORST hotel experience I have ever had. The Ridge hotel is an absolute scam. I booked and paid for a king-sized room, and after traveling 12 hours, they overbooked and tried to sneak me into a tiny, filthy double room without saying a word. The room was so cramped you could barely walk around the bed, it was dirty, and it looked nothing like the photos advertised. When I confronted the front desk that it clearly wasn’t the King room we purchased, they admitted the lie and promised a refund. We had no choice but to accept the tiny room, or sleep on the street. I showed them grace and trusted that the refund (at least for the difference in rooms) would come, but it didn’t.
For almost two months, the owner dodged my calls and refused to take responsibility. I was finally forced to go through Expedia just to claw back a partial refund, because the hotel itself did absolutely nothing.
This was no more than a bait and switch scam. The Ridge Hotel is dishonest, dirty, and run by people who have no respect for their guests. 
Shout out to Jasmine at the front desk who at least tried to be helpful.  Stay literally anywhere else <3",Traveled with friends,2,,en,4,
1007724,Sydney I,"Casalecchio di Reno, Italy",5,2025-08-26,2025-08-31,Clean hotel with all necessary amenities in a very strategic and convenient location,"Very nice structure directly on a busy main street both day and night with a wide choice of cafes supermarkets shops and restaurants, within walking distance of several metro lines.
Reception staff, friendly, of few words but try to accommodate all the needs of customers and meet them.
Small room, but with all the amenities including fridge and air conditioning, maybe a bit too noisy.
The room is never tidied up, but it's common in New York.
You can leave them in the luggage room both on arrival and return, but with hourly limitation, maximum until 15 because then until 18 there is no one left.
Apart from a few small negative notes, great value especially by New York standards and strategic location, in the middle of several meters to the various areas to visit in New York.",Traveled as a couple,9,,en,294,
1007724,Alice I,"Geneva, Switzerland",2,2025-07-12,2025-07-31,"Good location, low quality","the hotel is located in the Lower East Side, a young and funky part of New York.  The staff at the reception were friendly and helpful and we had a comfortable king-size bed.  I am afraid these are the only positive things I can write.  Our room was a broom closet where we could hardly move, let alone put our suitcases.  There was hardly any closet space, and it was positioned very inconveniently so that one had to perform acrobatics to hang some trousers.  One of the advertised attractions of the hotel is a roof deck with great view of New York, but it was closed for renovation - an odd time to do so at peak tourist season.  The foregoing is not uncommon in New York hotels, but what we found really questionable here is that the rooms are not serviced or cleaned for the whole duration of stay, and if we wanted the room to be cleaned we had to pay extra! I can understand one has to manage staff costs, but we found this very unhygienic  besides being unpleasant.",Traveled as a couple,1,,en,3,
1007724,Taylor J,,4,2025-05-08,2025-05-31,Great solution!,"The Ridge Hotel is a great compromise between convenience, price and location. Well connected to various areas of Manhattan, it offers great amenities such as: cleaning, relaxation area in the basement, free water and coffee, towel exchange, rooftop with always accessible views and rooms with access code (no key). Fully virtual check-in may create some initial confusion, but following the info via email to the letter is quite feasible. Overall a great reference point for short trips to NYC. Recommended!",Traveled as a couple,4,,en,5,
1007724,Ethan F,,5,2025-05-02,2025-01-31,Cozy and clean for 1.,"Room was comfortable, small,  but had a private restroom. A huge plus, for the price. Returning in June and booked a room here. It's convenient and good when your coming and going often. But perfect locale. Something is always open.  Didn't need customer service too much but the contact less check in was great. I much prefer less human contact 😂",Traveled solo,,,en,1,
1007724,William B,,1,2025-03-25,2025-03-31,Dreadful Hotel,"Dreadful hotel. Unfortunately, I was given one of the only rooms located in the lobby—right next to the entrance and the coffee machine (see photo). This space should never have been turned into a guest room. Unsurprisingly, my converted broom cupboard was incredibly noisy, and I barely got any sleep. I could hear every guest entering the hotel, as well as the security guard talking on his phone in the middle of the night.

To make matters worse, the room was unbearably stuffy due to a faulty climate control system. Most of the staff were extremely rude, though I can almost forgive them—having to work in this place every day must be miserable.

That said, you get what you pay for, and this is certainly a cheap place to stay. But even at a low price, I wouldn’t recommend it.",Traveled with friends,,"[{""url"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/71/51/12/caption.jpg"", ""caption"": """", ""photo_id"": ""795955474""}]",en,1,
