城市代码,页码,offset,酒店ID,酒店名称,image_url,酒店链接,评分,评论数,排名描述,排名,排名总数,地址,电话,纬度,经度,城市,最低价格,显示价格,价格区间最低,价格区间最高,住宿类型,酒店风格,亮点设施,促销标签,旅行者之选,旅行者之选奖项,平台SEO摘要,用户评论摘录,用户评论用户名,酒店描述
london,32,930,210755,Mabledon Court Hotel,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/9c/e2/16/view-from-outside.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d210755-Reviews-Mabledon_Court_Hotel-London_England.html,5,5,"#841 of 1,209 hotels in London",1251,3462,"10-11 Mabledon Place Bloomsbury, Camden, London WC1H 9AZ England",+44 20 7388 3866,51.527847,-0.127506,London,$143,$143,106,293,Hotel,,Air conditioning|Free Wifi,Sponsored|Breakfast included,否,,"Conveniently located hotel near King's Cross and the British Library. Offers comfortable beds, free Wi-Fi on some devices, and a mix of cooked English and continental breakfast with gluten-free options.",Spotlessly clean! The bathroom is beautiful. Room is snug but has everything you need. Great location between three tube stops. Staff are very friendly and helpful. Would stay again.,holidaysaregreat8,"This functional hotel is an 8-minute walk from St. Pancras train station (offering Eurostar services) and a 14-minute walk from the British Museum. The straightforward, traditionally furnished rooms come with TVs, and tea and coffeemaking equipment. Full English or continental breakfast is included, and served in an informal dining room. There's also a guest lounge."
london,6,150,188961,Hotel 41,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/fd/5a/03/caption.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d188961-Reviews-Hotel_41-London_England.html,4.9,4295,"#4 of 1,209 hotels in London",4,3462,"41 Buckingham Palace Road, London SW1W 0PS England",+44 20 7300 0041,51.498226,-0.143582,London,,,438,1873,Hotel,,Restaurant|Bar/Lounge|Air conditioning|Airport transportation,,是,2026 Travelers' Choice Best of the Best,"Luxurious hotel near Buckingham Palace with a private club-like atmosphere, exceptional service, an executive lounge, rooftop terrace, and personalized touches. Features superb amenities and romantic details.",,,"Our residents-only hotel, with a prestigious Forbes Five-Star rating, has been recognised as the number one hotel in the UK for more than a decade. Arrive at our private entrance overlooking the Royal Mews of Buckingham Palace, imbued with the subtle fragrance of Hotel 41’s own signature scent, and be welcomed with a personal check-in and a glass from our beautiful Champagne trolley. In your bedroom or suite, discover a selection of homemade treats created by our Executive Chef, along with a supremely comfortable, handcrafted Savoir bed. An unforgettable experience begins..."
london,7,180,193121,The Milestone Hotel and Residences,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/fd/16/22/caption.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d193121-Reviews-The_Milestone_Hotel_and_Residences-London_England.html,4.9,3044,"#14 of 1,209 hotels in London",14,3462,"1 Kensington Court, London W8 5DL England",+44 20 7917 1000,51.502083,-0.186593,London,,,542,1212,Hotel,,Pool|Spa|Restaurant|Bar/Lounge,,是,2026 Travelers' Choice Best of the Best,"Boutique hotel near Kensington Palace with classic English charm, personalized service, and historical ambience. Features elegant rooms, Stables Bar with horse racing theme, and highly praised afternoon tea.",,,"Discover old world charm, beautiful rich furnishings, exquisite original arts, outstanding cuisine and an experienced and passionate team. This elegant historic hotel is perfectly located opposite Kensington Palace and Gardens, and close to the Royal Albert Hall. Discover Stable’s Bar and the ‘Smoking Old Fashioned’, afternoon tea in the Park Lounge or dine in Cheneston’s or The Oratory, the original chapel."
london,10,270,5600790,Cheval Three Quays,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/99/0d/40/cheval-three-quays-water.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d5600790-Reviews-Cheval_Three_Quays-London_England.html,4.9,2910,"#8 of 1,516 Speciality lodging in London",87,3462,"40 Lower Thames Street, London EC3R 6AG England",+44 20 3725 5333,51.508133,-0.079532,London,$411,$411,426,835,Apartment,,Fitness centre|Air conditioning|Free Wifi,,是,2026 Travelers' Choice,"Modern hotel-apartment hybrid with spacious rooms, full kitchens, and laundry. Stunning views of Tower Bridge and the Thames. Prime location near attractions, restaurants, and transportation options.",,,"Situated next to The Tower of London, in one of the city's most historic locations, Cheval Three Quays sits on the banks of the River Thames with many apartments boasting views of the city's Tower Bridge. Perfectly located for the city's financial district yet within easy reach of the West End, Cheval Three Quays provides an unequalled setting on London's North Bank that offers both vibrancy and privacy. This iconic residence includes 159 serviced and residential 1, 2 and 3 luxury apartments and penthouses, many with unrivalled views across the Thames towards Tower Bridge and City Hall. Available from One Night, guests can be sure of exceptional home comforts, while receiving exceptional service, ensuring an exceptional experience."
london,2,30,15134890,The Resident Covent Garden,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/96/54/22/the-nadler-covent-garden.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d15134890-Reviews-The_Resident_Covent_Garden-London_England.html,4.9,2820,"#1 of 1,209 hotels in London",1,3462,"51 Bedford Street, London WC2R 0PZ England",+44 20 3146 1790,51.5099,-0.123479,London,$355,$355,298,633,Hotel,,Air conditioning|Free Wifi,,是,2026 Travelers' Choice Best of the Best,"Centrally located hotel near top attractions, dining, and shopping. Features modern, comfortable rooms with hidden kitchenettes, Nespresso machines, Brita-filtered water, and small balconies in some rooms. Perfect for exploring London with excellent amenities and 5-star service.",,,"Renowned for its elegant central Piazza, charming independent market stalls, vibrant street performers, and for having some of the best luxury shopping and fine dining in the capital, not to mention being home to the world-famous Royal Opera House and West End theatres, Covent Garden is one of London's most enchanting and inspirational destinations. The Resident Covent Garden is just a 3-minute walk from the main central Piazza (and within a 5-minute walk from both Covent Garden and Charing Cross stations), providing an oasis of calm right in the heart of London. The Resident Covent Garden offers 57 stylish and thoughtfully designed contemporary bedrooms, each featuring bespoke furniture, hand-made locally in West London, luxurious throws and cushions made from natural fibres woven on the Isle of Bute, Scotland, and special edition Paul Smith Anglepoise lamps, symbolising the brand’s focus on quality British design and craftsmanship."
london,2,30,193104,"The Clermont London, Charing Cross",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/eb/9d/74/amba-hotel-charing-cross.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d193104-Reviews-The_Clermont_London_Charing_Cross-London_England.html,4.8,8750,"#41 of 1,209 hotels in London",46,3462,"Strand Charing Cross, London WC2N 5HX England",+44 20 7523 5052,51.508537,-0.124709,London,$286,$286,293,615,Hotel,,Restaurant|Bar/Lounge|Fitness centre|Family Friendly,,是,2026 Travelers' Choice,"Elegant hotel blending traditional London charm with modern amenities. Centrally located near Covent Garden, Trafalgar Square, and theaters. Highlights include a romantic terrace with landmark views, a delightful afternoon tea, complimentary mini bar, and Nespresso machines in rooms.",,,"A landmark itself, Charing Cross opened in 1865 and remains one of London's most well-placed hotels. A few steps to Trafalgar Square. A minute's stroll to London's West End, A stone's throw away from The National Gallery and so much more. And when exploring more of the city, Charing Cross station is right next door."
london,10,270,6484754,"Shangri-La The Shard, London",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b6/33/d9/premier-city-view-room.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d6484754-Reviews-Shangri_La_The_Shard_London-London_England.html,4.8,7897,"#26 of 1,209 hotels in London",27,3462,"31 St Thomas Street, London SE1 9QU England",+44 20 7234 8000,51.504257,-0.086855,London,$903,$903,749,1255,Hotel,,Pool|Restaurant|Bar/Lounge|Fitness centre,Breakfast included,是,2026 Travelers' Choice,"Luxury hotel with floor-to-ceiling windows showcasing iconic London landmarks. Highlights include an infinity pool on the 52nd floor, spacious rooms with modern amenities, and Ting restaurant’s afternoon tea and dining experiences. Convenient location near Tower Bridge. Stunning city views.",,,"Feel an unparalleled connection at Shangri-La The Shard, London. Stay in the capital’s highest hotel, in one of the world’s most iconic buildings, whilst enjoying panoramic skyline views that connect you to the whole city. This is the only five-star luxury hotel in London Bridge, contrasting sleek modern style with the area’s rich historic character. Connect with the real London in our vibrant neighbourhood, balancing old and new, raw and refined, traditional and visionary. Explore nearby food destinations such as Borough Market and Bermondsey Street, and enrich your stay with our array of authentic London experiences. Staying in London Bridge lets you benefit from the most convenient transportation access, whether by foot, car, boat or rail. For leisure visits, we easily connect to all of London’s most famous landmarks, from Big Ben to St. Paul’s Cathedral and the Tower of London. For business, it’s a quick trip to the City and Canary Wharf."
london,2,30,192036,The Montague on the Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/fd/18/e7/caption.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d192036-Reviews-The_Montague_on_the_Gardens-London_England.html,4.8,6120,"#19 of 1,209 hotels in London",19,3462,"15 Montague Street, London WC1B 5BJ England",+44 20 7637 1001,51.52016,-0.125686,London,$320,$320,299,1011,Hotel,,Restaurant|Bar/Lounge|Fitness centre|Air conditioning,Breakfast included,是,2026 Travelers' Choice,"Conveniently located near the British Museum, this hotel offers exceptional service, unique dining options, a beach-themed bar, a cozy bistro, and a terrace for afternoon tea. Ideal for exploring London.",,,"A Georgian townhouse full of English charm, The Montague on the Gardens excels in traditional service and warm, generous hospitality. Located in literary Bloomsbury, just steps from the British Museum, we are famous for al-fresco dining and wonderfully fun pop-ups, including an alpine themed Ski Lodge in winter and a Hawaiian Beach Bar in the summer. Our chic Leopard Bar offers live jazz, whilst the conservatory is the perfect place to enjoy a traditional Afternoon Tea overlooking peaceful gardens."
london,1,0,192064,The Chesterfield Mayfair,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/fd/01/5c/caption.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d192064-Reviews-The_Chesterfield_Mayfair-London_England.html,4.8,5966,"#9 of 1,209 hotels in London",9,3462,"35 Charles Street, London W1J 5EB England",+44 20 7491 2622,51.507694,-0.147136,London,$357,$357,376,956,Hotel,,Restaurant|Bar/Lounge|Air conditioning|Airport transportation,,是,2026 Travelers' Choice,"Charming hotel with vintage British ambiance, exceptional service, and a standout afternoon tea featuring refillable treats and a sweetshop finale. Highlights include a cozy terrace bar, a rooftop gem, and a renowned restaurant. Perfectly located near top dining and attractions.",,,"The Chesterfield, located in the heart of Mayfair, is quintessentially British and exudes classic charm and unique personality. An ideal location minutes from Bond Street, Piccadilly and the Royal Parks, The Chesterfield Mayfair is renowned for the best Dover sole in London, themed afternoon teas, molecular cocktails and gin tasting experiences. A passionate team consistently exceeds guest expectations with faultless service."
london,1,0,248802,"St. Ermin's Hotel, Autograph Collection",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/7d/54/0a/st-ermin-s-hotel-exterior.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d248802-Reviews-St_Ermin_s_Hotel_Autograph_Collection-London_England.html,4.7,8977,"#13 of 1,209 hotels in London",13,3462,"2 Caxton Street, London SW1H 0QW England",+44 20 7222 7888,51.49875,-0.134264,London,$389,$389,376,647,Hotel,,Restaurant|Bar/Lounge|Fitness centre|Air conditioning,,是,2026 Travelers' Choice,"Elegant hotel near St. James's Park tube station and iconic landmarks like Buckingham Palace and Westminster Abbey. Rich history, charming ambiance, and unique amenities. Features a lively bar, renowned restaurant, and proximity to shops, eateries, and top attractions.",,,"St. Ermin’s Hotel, part of Marriott’s Autograph Collection nestled in the heart of St James in London. This distinctive deluxe hotel is a relaxed haven from London's bustling streets. From the lush tree-lined courtyard to historic interiors, this luxury hotel provides guests with beautiful and innovative facilities."
london,6,150,2309633,Conrad London St James,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/99/10/7d/exterior.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d2309633-Reviews-Conrad_London_St_James-London_England.html,4.7,6566,"#71 of 1,209 hotels in London",84,3462,"22-28 Broadway, London SW1H 0BH England",+44 20 3301 8080,51.499462,-0.132924,London,,,375,1251,Hotel,,Restaurant|Bar/Lounge|Fitness centre|Family Friendly,,是,2026 Travelers' Choice,"Centrally located hotel steps from St James Park and the Tube, with easy access to top London landmarks like Westminster Abbey and Buckingham Palace. Features spacious rooms, excellent service, a standout Executive Lounge, and the popular Blue Boar Pub offering great food, drinks, and ambience.",,,"Set in the heart of the British capital, the 5-star luxury Conrad London St. James is a five-minute walk from iconic landmarks such as Westminster Abbey, Buckingham Palace, and Big Ben. Light and stylish bedrooms with bespoke luxury bedding are complemented by marble bathrooms. While Nespresso coffee machines and extensive free Wi-Fi throughout the hotel are essential additions for the modern traveller. Indulge in free-flowing Afternoon Tea with Champagne Bollinger. Dine at The Pem, the hotel’s destination restaurant where locally sourced product meets a modern take on English 'comfort food', or enjoy your evening in Blue Boar Pub, with local craft beers and classic British pub food. A 24-hour fitness centre allows you to exercise at your convenience or enjoy the scenic jogging routes. The new family package includes a personalised storybook and, for an elevated experience, a unique fairy-tale forest themed Children's room. As a pet-friendly hotel, furry friends are warmly welcome."
london,1,0,193617,The Marylebone,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/20/0a/85/the-cocktail-bar.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d193617-Reviews-The_Marylebone-London_England.html,4.7,6192,"#62 of 1,209 hotels in London",73,3462,"47 Welbeck Street, London W1G 8DN England",+44 20 7486 6600,51.517975,-0.149927,London,$431,$431,327,770,Hotel,,Pool|Spa|Restaurant|Bar/Lounge,,是,2026 Travelers' Choice,"Centrally located hotel on a quiet Marylebone street, steps from Oxford and Regent Streets. Surrounded by shops, restaurants, and pubs. Features a vibrant cocktail bar, intimate atmosphere, and a delicious adjoining restaurant. Exceptional service and luxurious accommodations.",,,"The vibrant, bijou feel of Marylebone village is mirrored in the chic, stylish hotel that shares its name. Discover the charm and buzz of 108 Brasserie; a bright new raft of event spaces – indoor and out; and expansive, rooftop terrace suites that rival any in London for the wow factor. The Marylebone is a short walk to the excitement of Oxford Street, the world-famous stores of Bond Street and Mayfair, Harley Street and the elegant green spaces of Regents Park and Hyde Park. Characterised by its striking design and décor – in places inspired by the great David Hicks, The Marylebone epitomises the vibrant charm of its special London location. Embracing art, design and culture, its guest rooms, suites and public spaces are a celebration of contemporary and antique art and furnishings. Rare in central London is the on-site Third Space gym and spa, equipped with 18m indoor pool, state-of-the-art gym equipment and a range of complimentary fitness classes for guests of the hotel."
london,6,150,209229,The Bloomsbury Hotel,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/f4/43/68/the-bloomsbury-heritage.jpg,https://www.tripadvisor.co.uk/Hotel_Review-g186338-d209229-Reviews-The_Bloomsbury_Hotel-London_England.html,4.7,5821,"#32 of 1,209 hotels in London",34,3462,"16-22 Great Russell Street, London WC1B 3NN England",+44 20 7347 1000,51.517254,-0.128954,London,$396,$396,339,708,Hotel,,Restaurant|Bar/Lounge|Fitness centre|Air conditioning,Breakfast included,是,2026 Travelers' Choice,"Elegant boutique hotel near Tottenham Court Road, perfect for exploring London. Central location near theaters, Oxford Street, and the British Museum. Features stylish rooms, exceptional service, the lively Coral Bar, and the Dalloway Terrace restaurant with a pre-theatre menu.",,,"In the beating heart of London, close to Theatreland, The British Museum and Covent Garden, The Bloomsbury, a magnificent Edwin Lutyens’ Grade II-listed, neo-Georgian building sits amid the historic 18th century neighbourhood of the same name; a literary heartland filled with galleries, bookshops and a wealth of cultural heritage. Following a multimillion pound refurbishment, the final chapter in The Bloomsbury’s redevelopment includes beautifully designed Luxury Studio Suites, Sitting Room and grand salon bar - The Coral Room. The Coral Room, designed in collaboration with internationally-acclaimed, Martin Brudnizki Design Studio, features 36 original pieces of art commissioned with illustrator Luke Edward Hall and inspired by the surrounding Bloomsbury area. The restoration of The Bloomsbury also includes Dalloway Terrace, a charming indoor and outdoor restaurant and The Bloomsbury Club Bar which takes inspiration from the Bloomsbury Set, evoking the glamour of a bygone era."
